"Finished","ID","BioAssassin_1_1","BioAssassin_2_1","BioAssassin_3_1","BiowarNumCountry_1_1","BiowarNumCountry_2_1","BiowarNumCountry_3_1","QuALITY_1_1","QuALITY_2_1","QuALITY_3_1","FutureWorries","NonStateBio100k_1_1","NonStateBio100k_2_1","NonStateBio100k_3_1","GenAttitudes","GPT","ComputeCost_1_1","ComputeCost_2_1","ComputeCost_3_1","ComputeCostgraphic_1_1","ComputeCostgraphic_2_1","ComputeCostgraphic_3_1","HumanExtReasonsSum_1_1","HumanExtReasonsSum_2_1","HumanExtReasonsSum_3_1","HumanExtReasonsSum_4_1","HumanExtReasonsSum_5_1","HumanExtReasonsSum_6_1","HumanExtReasonsSum_7_1","HumanExtReasons_corr_1_1","HumanExtReasons_corr_2_1","HumanExtReasons_corr_3_1","HumanExtReasons_corr_4_1","HumanExtReasons_corr_5_1","HumanExtReasons_corr_6_1","HumanExtReasons_corr_7_1","HumanExtReasonsSum_7_TEXT","HumanExtReasons_corr_7_TEXT","HumanExtReasonsSum"
"True","Pp8htGBZ42V",4e-04,0.005,0.1,5,6,10,35,50,70,2200,2e-04,0.02,1,2100,40,3e+10,7.5e+10,8.5e+10,NA,NA,NA,15,15,10,20,5,5,30,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PfzWtwPo4Nk",0,0,1,7,8,12,71,77,85,2042,0,0,2,2065,1,NA,NA,NA,1e+08,2.4e+08,6.6e+08,10,5,5,30,0,5,45,NA,NA,NA,NA,NA,NA,NA,"environmental collapse","","100"
"True","PkfNL5IicKh",1,6,40,8,10,15,50,74,94,2030,2,4,60,65,45,NA,NA,NA,7e+07,1.5e+08,1e+09,60,35,55,80,10,25,50,20,15,15,45,0,5,0,"","","315"
"True","P0ny1TCAvKB",0,0,1,6,15,25,73,82,92,2040,0,1,2,2045,0,1e+09,1e+11,1e+12,NA,NA,NA,5,25,5,30,0,45,0,5,15,5,30,0,45,0,"Not applicable",NA,"{Invalid Expression}"
"True","Ple0cQUY2l0",0,0,1,3,4,5,79.9,96.1,93,2050,0,0,0.5,2050,50,5e+10,2.5e+11,4e+11,NA,NA,NA,20,15,5,10,0,0,50,NA,NA,NA,NA,NA,NA,NA,"Climate Change","","100"
"True","Pi3GS2ktt2H",0,0,0.9,20,26,70,30,59,80,2030,1,3,9,2100,5,NA,NA,NA,100,250,500,10,1,40,60,1,15,20,10,1,20,30,1,18,20,"climate change","climate change","147"
"True","PBiOmr6d31j",0,0,0,3,5,6,79,89,110,1e+210,0,0,0,1e+210,45,2e+10,3e+10,5e+10,NA,NA,NA,10,15,6,10,1,8,50,NA,NA,NA,NA,NA,NA,NA,"Global warming related issues","","100"
"True","P91QEqjhcZS",0,0,1,5,6,9,30.3,40.2,45.2,2040,0,0,1,2050,10,1e+07,1e+07,5e+06,NA,NA,NA,10,10,30,20,1,50,0,10,10,30,20,1,50,0,"","","121"
"True","PHc7abs1CeH",0,0,0,7,10,8,35,55,90,2045,0,0,0,2045,15,NA,NA,NA,2e+08,5e+08,1.2e+09,2,5,3,30,1,59,0,2,5,3,30,1,60,0,"","","{Invalid Expression}"
"True","P1lyU9dv37Z",0,0,1,190,215,240,30,55,80,2075,1e-05,0.001,0.01,1e+210,10,1e+07,7500000,5e+06,NA,NA,NA,0.01,0.1,0.5,0.3,1e-07,0,99,0.01,0.1,0.5,0.3,1e-07,0,99.09,"Supernova","Supernova","99.9100001"
"True","P7hugIPGDee",0,0,0,5,5,5,29,75,88,3000,1,5,20,3000,48,1.5e+10,2e+10,5e+10,NA,NA,NA,10,50,5,15,1,80,10,5,30,2,10,0.5,50,2.5,"","","171"
"True","P7MWGw9GIkm",0,2,5,39,45,52,47,55,63,2030,2,3.5,5,1e+210,50,13,20,26,NA,NA,NA,0.1,5,0.01,20,0.001,5,7,0.1,5,0.01,20,0.001,5,7,"","","37.111"
"True","PlcpCISuhXg",0,0.01,0.1,2,4,7,69.3,80,95,2035,0,0,0,1e+210,0.6,1e+07,5e+07,1e+08,NA,NA,NA,2,3,1,10,0,84,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PjxXbkg074N",0.1,0.6,1,5,7,10,62,75,85,2100,1,3,8,2100,5,NA,NA,NA,5e+07,1e+08,1.5e+08,15,5,30,20,2,10,18,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PY5KybM5FPN",0,1,2,40,45,50,55,91,100,2100,0,0,0,2030,100,NA,NA,NA,1e+08,5e+08,2.5e+08,10,1,10,25,50,1,0,10,1,13,25,50,1,0,NA,NA,"97"
"True","PNl5wL64TFX",1,3,5,3,5,11,70,79,83,2020,3,7,15,2034,48,1.5e+09,2e+09,1.5e+10,NA,NA,NA,10,20,5,30,5,15,15,NA,NA,NA,NA,NA,NA,NA,"asteroid","","100"
"True","PfROGxvG8jS",0.5,0.5,0.5,0.5,0.5,0.5,5,5,5,30,0.1,0.1,0.1,0.1,10,NA,NA,NA,5e+07,4e+07,2.5e+07,1,5,5,1,1,1,1,10,25,25,10,10,10,10,"","","15"
"True","Pns823zNpEm",67,72,83,5,7,11,90.1,94.5,98.1,2100,2,3,5,54,52,8900000,6800000,8100000,NA,NA,NA,8,5,1,9,0,1,0,33,29,5,32,0,1,0,"","","24"
"True","PrPCyZp7fkl",0,0,1,0,1,2,71,78,89,2085,0,0,0,2090,0,4e+07,1.5e+08,6e+08,NA,NA,NA,35,25,20,12,0,8,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PYVARDjDafq",0,0,1,6,7,8,78,96.1,93,2095,0,0,0,2100,35,NA,NA,NA,5e+07,5e+07,6.5e+07,15,35,8,35,0,7,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","Po2wUSJzgGV",0,1,3,1,2,3,65,72,90,2040,0,0,0,2100,1.5,NA,NA,NA,8e+07,1.7e+08,1e+09,15,5,20,44,2,12,2,NA,NA,NA,NA,NA,NA,NA,"natural disaster, ","","100"
"True","Pb4CcdUSKmk",0,1,1,6,8,12,51,70,90,2050,0,0,0,2100,75,3e+06,6e+06,1.2e+07,NA,NA,NA,5,10,5,50,0,30,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PYeb0elczXn",0,0,0.2,3,3,3,69.3,84,88,2124,0,0,0,2124,1,NA,NA,NA,7.5e+07,2e+08,5e+08,0.1,1,1,10,0.1,87.7,0.1,0.1,1,1,10,0.1,87.7,0.1,"","","{Invalid Expression}"
"True","PwTy20KytmA",0,0,1,12,15,16,68,75,84,2075,0,0,1,2060,46,5e+06,7e+06,1.2e+07,NA,NA,NA,15,20,5,15,5,30,0,20,25,5,15,5,30,0,"","","90"
"True","Pd1zz9vnNmO",0,0.5,2,10,10,5,80,88,91,2100,0,0,1,2100,25,1e+09,4e+09,2e+11,NA,NA,NA,25,25,10,25,1,4,5,27,25,10,27,1,4,6,"Non-nuclear war","Non-nuclear war","95"
"True","PNOQohWXQpx",0,0,0,25,45,85,65,75,95,1e+210,0,0,0,1e+210,33,1.2e+08,8e+08,1.2e+10,NA,NA,NA,2,1,5,30,0,62,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P8gjHjJrKpp",0,2,6,2,6,15,90,95,98,2050,0,0,1,2080,10,5e+08,1.8e+10,3e+10,NA,NA,NA,20,20,5,30,0,25,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PAtl7AT6BHb",0,5,15,50,75,100,75,85,88,2030,0,5,10,2050,35,NA,NA,NA,75,250,500,25,35,1,60,5,60,0,12,12,1,40,5,30,0,"","","186"
"True","P849mqKynDs",0,1.2,3.5,5,7,7,31.1,82.9,94.2,2088,0,0,1,2073,67,NA,NA,NA,7.8e+07,4.11e+08,2.7e+10,29,14,17,33,3,2,2,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P95S2Bfl4FS",0,1,4,12,15,25,60,70,80,2250,0,0,1,3000,85,NA,NA,NA,5e+07,6.5e+07,1e+08,20,50,10,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","Pk3F1vO3cVs",0,0,0,8,12,12,58,65,70,2030,0,0,0,2035,0.3,NA,NA,NA,55,62,80,0,0,0,0,0,0,0,20,20,29,20,1,10,0,"","","0"
"True","PzXffbZc1ub",30.1,34.2,37.7,12,21,47,77.1,83.3,89.6,2065,7.1,10.2,16.17,2037,27,NA,NA,NA,52,59,73,25,25,20,15,14,3,1,25,25,20,15,11,3,1,"","","103"
"True","P1EelDibiO2",0,0.1,0.3,8,13,35,40,60,95,NA,0,0,1,2050,50,1e+07,3e+07,1e+08,NA,NA,NA,1,2,50,40,1,5,10,1,2,41,40,1,5,10,"","","109"
"True","Ppncxaa8Fe6",0,1,3,8,15,25,60,70,80,2050,5,12,30,2030,48,NA,NA,NA,1e+07,5e+07,1e+09,10,20,20,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PewCd1TYTl6",0,0,0,5,5,5,40,65,88,2200,0,0,1,2050,90,NA,NA,NA,5e+07,5e+07,5e+07,0.01,0.02,0.001,0.03,1e-04,0.001,0.001,15,10,20,40,5,5,5,"","","0.0631"
"True","PpWEjGNqmSy",0,0,1,16,15,14,63,70,88,2150,0,0,1,2124,50,2e+09,2e+10,2e+11,NA,NA,NA,1,10,0,2,0,2,50,5,10,0,5,0,20,60,"Climate catastrophe","Climate catastrophe","65"
"True","PpKB3TeB1br",0,0,1,18,20,25,75,95,97,2028,0,1,5,2040,0,NA,NA,NA,6e+08,1e+09,2e+09,10,2,25,50,2,10,15,10,2,20,50,3,10,5,"Meteorites","Meteorites","{Invalid Expression}"
"True","PFXnBLumyjq",0,0,1,5,7,9,75,85,100,2100,0,0,1,2070,1,NA,NA,NA,1e+08,2.5e+08,5e+08,25,15,5,40,1,14,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P80EKmlrlyF",26,42,65,5,18,35,82.3,93,97.5,2100,20,60,75,2070,7,NA,NA,NA,1.1e+07,1.5e+07,2.6e+07,65,75,88,78,15,56,25,60,10,10,13,4,2,1,"","","402"
"True","PUaWg8Bxz21",0,2,3,4,10,15,28.4,33.6,56.7,1e+210,0,1,5,1e+210,1,NA,NA,NA,5.2,9.8,68.3,5,1,5,70,0,14,0,5,1,5,70,0,19,0,"","","95"
"True","Pry3j9CiRVd",0,0,0,6,8,15,65,75,80,2045,0,0,0,2060,2,5e+08,2e+09,5e+09,NA,NA,NA,20,40,10,28,2,0,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PTzmcTo8HLY",0.3,0.5,0.66,0.5,0.6,0.8,81.5,85,95,2028,0.5,0.12,0.2,2027,48,NA,NA,NA,100,200,500,0.3,0.1,0.1,0.3,0.01,0,0,0.3,0.24,0.15,0.3,0.01,0,0,"","","0.81"
"True","PPebVkRuOMU",70,71,75,6,8,12,75,78,82,2050,2,2.5,4,2028,10,4e+07,4.5e+07,7.5e+07,NA,NA,NA,0.1,0.5,0.05,3,0.001,0.1,0,25,25,5,35,5,10,0,"0","0","3.751"
"True","PAv0MZqR0eM",0,0,1,1,2,5,29,95,99,2045,0,0,1,2044,1,4e+09,1e+10,5e+10,NA,NA,NA,27,1,60,10,1,1,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P61hIJf7NIC",0,0,0,4,14,40,44,60,75,2025,0,0,0,1e+210,40,1e+07,5e+07,1e+09,NA,NA,NA,20,35,5,30,5,5,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PXf4YLkGKPL",0,0,0,12,12,15,69.3,71,73,2030,0,0,0,2034,40,2300000,1100000,250000,NA,NA,NA,2,2,1,1,1,63,30,NA,NA,NA,NA,NA,NA,NA,"Climate change/non-viable living conditions","","100"
"True","PHBNc5GPxDQ",0,0,2,12,15,15,69,85,99,1e+210,0,0,1,2500,0,1.91e+08,5e+08,2e+09,NA,NA,NA,15,10,20,50,0,5,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PM8kZKBdEFh",0,0,0,1,1,1,70,80,90,2030,0,0,0,2070,0,50000,7.5e+07,1e+09,NA,NA,NA,0,5,0,20,0,5,0,0,20,0,60,0,20,0,"","","30"
